cla,pr_mean,we_mean,le_mean
standard,3.6086288271528124e6,1225.0577401692385,463.02314584370333
subcompact,1.7077472871081745e6,737.0322679778734,361.3080823601721
compact,2.243321915143603e6,912.9380828049235,407.5389779932861
intermediate,2.948731192284925e6,1029.1842936069456,436.344909234412
luxury,6.533379933855291e6,1334.9125269978401,470.58585313174945
