Rank,Country,Population,Area
170,Western Sahara,582478.00,266000.00
171,Suriname,573085.00,163820.00
172,Cape Verde,560349.00,4033.00
173,Maldives,451738.00,300.00
174,Guadeloupe,448798.00,1628.00
175,Brunei,439336.00,5765.00
176,Malta,433245.00,316.00
177,Bahamas,403095.00,13943.00
178,Belize,390231.00,22966.00
179,Martinique,385320.00,1128.00
180,Iceland,340566.00,103000.00
181,French Guiana,296847.00,83534.00
182,French Polynesia,288506.00,4167.00
183,Vanuatu,288017.00,12189.00
184,Barbados,287010.00,430.00
185,New Caledonia,283376.00,18575.00
186,Mayotte,266380.00,374.00
187,Sao Tome and Principe,213379.00,964.00
188,Samoa,198909.00,2842.00
189,Saint Lucia,180454.00,616.00
190,Guam,167245.00,549.00
191,Curacao,162547.00,444.00
192,Kiribati,120428.00,811.00
193,Saint Vincent and the Grenadines,110488.00,389.00
194,Tonga,110041.00,747.00
195,Grenada,108825.00,344.00
196,Micronesia,106983.00,702.00
197,Aruba,106053.00,180.00
198,United States Virgin Islands,104909.00,347.00
199,Antigua and Barbuda,104084.00,442.00
200,Seychelles,95702.00,452.00
201,Isle of Man,85369.00,572.00
202,Andorra,77072.00,468.00
203,Dominica,74679.00,751.00
204,Cayman Islands,63129.00,264.00
205,Bermuda,60833.00,54.00
206,Greenland,56673.00,2166086.00
207,Saint Kitts and Nevis,56345.00,261.00
208,American Samoa,55727.00,199.00
209,Northern Mariana Islands,55246.00,464.00
210,Marshall Islands,53211.00,181.00
211,Faroe Islands,49692.00,1393.00
212,Sint Maarten,40939.00,34.00
213,Monaco,39102.00,2.02
214,Liechtenstein,38404.00,160.00
215,Turks and Caicos Islands,36461.00,948.00
216,Gibraltar,34879.00,6.00
217,San Marino,33683.00,61.00
218,British Virgin Islands,32206.00,151.00
219,Palau,22206.00,459.00
220,Cook Islands,17462.00,236.00
221,Anguilla,15174.00,91.00
222,Wallis and Futuna,11617.00,142.00
223,Tuvalu,11393.00,26.00
224,Nauru,11260.00,21.00
225,Saint Pierre and Miquelon,6375.00,242.00
226,Montserrat,5220.00,102.00
227,Falkland Islands,2921.00,12173.00
228,Niue,1628.00,260.00
229,Tokelau,1340.00,12.00
230,Vatican City,799.00,0.44
